scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir08_E10,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",52%,Middle tercile
S1_IRRI_ir08_E11,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,6%,Low tercile
S1_IRRI_ir08_E12,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",0%,Low tercile
S1_IRRI_ir08_E13,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,dry",58%,Middle tercile
S1_IRRI_ir08_E14,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,dry",88%,High tercile
S1_IRRI_ir08_E15,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,dry",36%,Middle tercile
S1_IRRI_ir08_E16,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,dry",45%,Middle tercile
S1_IRRI_ir08_E17,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,wet",33%,Low tercile
S1_IRRI_ir08_E18,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,wet",21%,Low tercile
S1_IRRI_ir08_E19,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",61%,Middle tercile
S1_IRRI_ir08_E20,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",18%,Low tercile
S1_IRRI_ir08_E21,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",85%,High tercile
S1_IRRI_ir08_E22,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",48%,Middle tercile
S1_IRRI_ir08_E23,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,dry",76%,High tercile
S1_IRRI_ir08_E24,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,dry",55%,Middle tercile
S1_IRRI_ir08_E25,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,dry",94%,High tercile
S1_IRRI_ir08_E26,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,82%,High tercile
S1_IRRI_ir08_E27,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,73%,High tercile
S1_IRRI_ir08_E28,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,dry",79%,High tercile
S1_IRRI_ir08_E29,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,91%,High tercile
S1_IRRI_ir08_E30,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",42%,Middle tercile
S1_IRRI_ir08_E31,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,dry",39%,Middle tercile
S1_IRRI_ir08_E32,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,dry",97%,High tercile
S1_IRRI_ir08_E33,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,dry",70%,High tercile
S1_IRRI_ir08_E34,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,dry",64%,Middle tercile
S2_PACK_ad10_H,Historical,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,NA,NA,NA
S2_PACK_ad10_E01,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,wet",12%,Low tercile
S2_PACK_ad10_E02,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,15%,Low tercile
S2_PACK_ad10_E03,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,dry",24%,Low tercile
S2_PACK_ad10_E04,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,27%,Low tercile
S2_PACK_ad10_E05,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",3%,Low tercile
S2_PACK_ad10_E06,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,67%,Middle tercile
S2_PACK_ad10_E07,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,wet",30%,Low tercile
S2_PACK_ad10_E08,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,9%,Low tercile
S2_PACK_ad10_E09,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,dry",100%,High tercile
S2_PACK_ad10_E10,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",52%,Middle tercile
S2_PACK_ad10_E11,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,6%,Low tercile
S2_PACK_ad10_E12,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",0%,Low tercile
S2_PACK_ad10_E13,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,dry",58%,Middle tercile
S2_PACK_ad10_E14,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,dry",88%,High tercile
