scenario,GID_2,cropping_year,yield_meher_maize,yield_meher_wheat,yield_meher_teff,yield_meher_sorghum,yield_meher_barley,yield_belg_maize,yield_belg_wheat,yield_belg_teff,yield_belg_sorghum,yield_belg_barley,rel_anomaly_yield_meher_maize,rel_anomaly_yield_meher_wheat,rel_anomaly_yield_meher_teff,rel_anomaly_yield_meher_sorghum,rel_anomaly_yield_meher_barley,rel_anomaly_yield_belg_maize,rel_anomaly_yield_belg_wheat,rel_anomaly_yield_belg_teff,rel_anomaly_yield_belg_sorghum,rel_anomaly_yield_belg_barley
S0_BASE_bs00_E13,ETH.8.16,2018,66.37,27.36,18.18,36.03,29.18,67.11,48.69,18.45,45.58,41.43,13.12,121.52,38.68,17.22,78.80,3.91,14.64,42.72,19.67,2.16
S0_BASE_bs00_E14,ETH.8.16,2018,64.70,40.17,23.29,38.35,30.24,66.65,44.09,19.29,46.46,29.86,10.28,225.28,77.65,24.75,85.27,3.21,3.81,49.15,21.98,-26.36
S0_BASE_bs00_E15,ETH.8.16,2018,59.80,41.07,24.37,37.98,34.47,66.31,5.67,18.54,41.84,8.12,1.93,232.52,85.90,23.56,111.20,2.68,-86.65,43.42,9.85,-79.98
S0_BASE_bs00_E16,ETH.8.16,2018,65.40,40.06,17.59,37.61,34.85,66.99,33.20,18.38,44.69,18.73,11.48,224.38,34.18,22.34,113.51,3.74,-21.82,42.17,17.31,-53.82
S0_BASE_bs00_E17,ETH.8.16,2018,59.44,27.17,20.39,36.33,26.62,64.66,48.27,18.57,47.37,34.93,1.32,119.98,55.54,18.17,63.08,0.13,13.66,43.65,24.36,-13.86
S0_BASE_bs00_E18,ETH.8.16,2018,56.83,21.03,13.15,35.92,24.09,68.86,54.37,16.55,45.41,44.20,-3.14,70.28,0.32,16.84,47.61,6.62,28.01,27.99,19.21,9.00
S0_BASE_bs00_E19,ETH.8.16,2018,64.94,20.93,11.41,37.32,23.96,67.56,55.73,14.28,44.80,52.88,10.68,69.46,-12.98,21.42,46.81,4.61,31.22,10.46,17.62,30.40
S0_BASE_bs00_E20,ETH.8.16,2018,55.09,24.79,14.09,36.08,23.83,71.53,50.94,14.48,47.62,43.26,-6.10,100.70,7.49,17.37,46.03,10.77,19.95,12.02,25.03,6.67
S0_BASE_bs00_E21,ETH.8.16,2018,65.62,25.16,15.95,40.65,28.89,66.41,54.56,19.67,46.74,50.23,11.85,103.71,21.64,32.23,77.02,2.83,28.48,52.17,22.72,23.88
S0_BASE_bs00_E22,ETH.8.16,2018,63.43,24.45,14.99,39.02,29.45,66.13,53.20,17.36,48.41,46.04,8.12,97.95,14.33,26.93,80.48,2.40,25.25,34.26,27.10,13.53
S0_BASE_bs00_E23,ETH.8.16,2018,66.62,33.74,22.00,39.78,32.76,72.73,53.88,17.77,48.80,45.62,13.55,173.21,67.77,29.41,100.73,12.62,26.87,37.42,28.12,12.49
S0_BASE_bs00_E24,ETH.8.16,2018,65.61,26.70,13.28,42.58,33.21,68.15,54.27,18.42,48.04,48.62,11.83,116.18,1.33,38.51,103.51,5.53,27.78,42.50,26.13,19.89
S0_BASE_bs00_E25,ETH.8.16,2018,65.42,23.98,19.57,39.89,25.72,69.68,54.53,15.63,51.28,50.40,11.50,94.17,49.26,29.77,57.59,7.89,28.40,20.87,34.64,24.29
S0_BASE_bs00_E26,ETH.8.16,2018,61.21,25.61,15.31,40.71,27.15,73.63,55.04,15.16,53.75,48.43,4.33,107.34,16.75,32.44,66.35,14.01,29.60,17.27,41.11,19.43
S0_BASE_bs00_E27,ETH.8.16,2018,65.28,27.10,17.55,39.24,32.09,70.41,49.03,18.91,49.86,44.75,11.26,119.41,33.90,27.66,96.63,9.02,15.44,46.23,30.90,10.36
S0_BASE_bs00_E28,ETH.8.16,2018,66.52,37.60,19.64,43.44,34.44,73.65,50.86,19.37,56.09,44.06,13.39,204.43,49.77,41.32,111.05,14.05,19.75,49.77,47.26,8.65
S0_BASE_bs00_E29,ETH.8.16,2018,67.16,30.98,17.08,40.76,31.85,72.32,51.84,18.00,54.15,44.05,14.47,150.85,30.25,32.60,95.19,11.98,22.07,39.25,42.16,8.64
S0_BASE_bs00_E30,ETH.8.16,2018,62.67,26.26,16.84,37.99,24.16,70.48,50.93,15.85,49.31,42.73,6.82,112.66,28.45,23.60,48.05,9.14,19.93,22.61,29.45,5.38
S0_BASE_bs00_E31,ETH.8.16,2018,66.16,23.62,13.63,39.51,26.35,69.21,51.86,17.69,51.40,43.39,12.77,91.25,3.97,28.51,61.44,7.18,22.12,36.78,34.95,7.00
S0_BASE_bs00_E32,ETH.8.16,2018,68.43,42.04,15.16,44.73,37.11,66.49,47.43,19.76,55.92,36.79,16.63,240.39,15.60,45.51,127.38,2.96,11.67,52.80,46.81,-9.26
S0_BASE_bs00_E33,ETH.8.16,2018,68.91,25.72,12.56,42.87,32.19,67.24,53.15,18.71,47.64,46.66,17.45,108.25,-4.21,39.46,97.22,4.12,25.16,44.69,25.06,15.07
S0_BASE_bs00_E34,ETH.8.16,2018,68.24,29.44,12.17,44.21,32.62,68.31,53.02,19.91,53.04,42.35,16.32,138.39,-7.18,43.83,99.86,5.77,24.84,53.95,39.26,4.45
S0_BASE_bs00_E01,ETH.8.17,2018,25.40,20.82,4.27,28.13,24.83,25.91,21.43,5.05,28.25,30.88,-0.14,-4.05,-3.45,5.90,23.43,6.28,62.50,-50.21,1.18,50.34
S0_BASE_bs00_E02,ETH.8.17,2018,25.37,17.89,2.22,28.76,25.32,25.96,22.65,5.03,28.91,31.33,-0.27,-17.55,-49.86,8.28,25.87,6.46,71.75,-50.43,3.56,52.53
S0_BASE_bs00_E03,ETH.8.17,2018,25.18,26.23,2.47,30.14,26.56,26.79,16.11,6.16,29.45,28.91,-1.03,20.88,-44.17,13.50,31.99,9.89,22.14,-39.27,5.46,40.76
S0_BASE_bs00_E04,ETH.8.17,2018,25.94,25.63,4.64,29.37,28.29,26.74,19.42,7.44,29.06,31.00,1.95,18.11,5.03,10.58,40.61,9.69,47.24,-26.66,4.09,50.92
S0_BASE_bs00_E05,ETH.8.17,2018,24.55,19.56,1.37,29.89,21.77,26.49,16.78,5.02,28.16,28.58,-3.51,-9.84,-69.02,12.54,8.21,8.65,27.24,-50.46,0.87,39.16
S0_BASE_bs00_E06,ETH.8.17,2018,25.39,23.24,3.78,29.56,23.41,23.81,7.63,5.52,30.25,23.87,-0.19,7.10,-14.59,11.28,16.37,-2.32,-42.15,-45.55,8.36,16.23
S0_BASE_bs00_E07,ETH.8.17,2018,26.13,19.89,1.60,28.80,23.60,28.21,23.20,4.54,29.15,27.72,2.70,-8.35,-63.80,8.42,17.28,15.70,75.88,-55.23,4.41,34.97
S0_BASE_bs00_E08,ETH.8.17,2018,25.61,22.32,1.32,29.14,24.82,25.91,14.59,4.93,29.52,30.69,0.65,2.84,-70.03,9.71,23.38,6.28,10.61,-51.42,5.74,49.43
S0_BASE_bs00_E09,ETH.8.17,2018,24.80,28.04,2.34,30.59,26.33,24.05,7.54,6.54,30.10,18.63,-2.51,29.20,-46.96,15.18,30.87,-1.34,-42.83,-35.51,7.81,-9.31
S0_BASE_bs00_E10,ETH.8.17,2018,25.90,22.80,4.14,29.81,25.97,27.28,13.44,5.01,30.09,29.30,1.82,5.09,-6.30,12.25,29.07,11.90,1.86,-50.60,7.79,42.63
S0_BASE_bs00_E11,ETH.8.17,2018,25.00,18.92,0.91,28.54,20.43,26.41,15.65,6.02,28.24,26.89,-1.74,-12.81,-79.44,7.46,1.54,8.33,18.69,-40.66,1.15,30.93
S0_BASE_bs00_E12,ETH.8.17,2018,25.45,22.98,2.45,29.72,25.34,26.64,12.21,6.63,29.36,25.81,0.02,5.90,-44.50,11.91,25.92,9.29,-7.44,-34.64,5.15,25.66
S0_BASE_bs00_E13,ETH.8.17,2018,24.04,21.20,4.19,28.95,25.98,24.00,14.43,5.09,29.16,29.36,-5.50,-2.30,-5.12,9.01,29.11,-1.56,9.38,-49.75,4.44,42.92
S0_BASE_bs00_E14,ETH.8.17,2018,25.83,27.39,3.56,30.53,25.17,24.03,6.27,5.35,29.45,14.50,1.53,26.23,-19.53,14.93,25.08,-1.45,-52.43,-47.23,5.46,-29.40
S0_BASE_bs00_E15,ETH.8.17,2018,24.53,24.30,3.58,30.21,25.15,24.35,6.69,7.10,28.56,14.47,-3.57,11.98,-19.02,13.76,25.02,-0.13,-49.31,-29.95,2.29,-29.54
S0_BASE_bs00_E16,ETH.8.17,2018,24.57,25.59,5.52,30.23,21.78,25.56,7.45,7.21,29.46,22.61,-3.44,17.93,24.95,13.83,8.24,4.84,-43.55,-28.93,5.52,10.08
S0_BASE_bs00_E17,ETH.8.17,2018,24.25,21.76,2.49,28.96,23.43,26.72,14.68,4.04,28.92,28.50,-4.67,0.27,-43.64,9.03,16.47,9.61,11.29,-60.19,3.58,38.74
S0_BASE_bs00_E18,ETH.8.17,2018,25.05,25.50,3.05,30.08,25.79,24.71,8.52,5.17,29.31,24.81,-1.55,17.51,-31.00,13.25,28.20,1.34,-35.40,-48.97,4.97,20.81
S0_BASE_bs00_E19,ETH.8.17,2018,25.57,24.48,1.17,29.69,25.24,25.30,7.73,5.66,29.36,23.00,0.51,12.81,-73.56,11.79,25.45,3.76,-41.43,-44.13,5.16,11.96
S0_BASE_bs00_E20,ETH.8.17,2018,26.16,19.37,4.89,28.99,25.93,26.59,13.21,5.68,28.61,27.61,2.83,-10.74,10.53,9.14,28.88,9.04,0.17,-43.96,2.48,34.43
S0_BASE_bs00_E21,ETH.8.17,2018,27.53,24.08,1.40,30.53,28.91,26.89,11.75,7.14,30.37,27.30,8.20,10.97,-68.29,14.96,43.71,10.30,-10.91,-29.58,8.77,32.91
S0_BASE_bs00_E22,ETH.8.17,2018,25.03,20.59,1.27,30.85,24.00,27.20,29.02,5.25,30.05,30.53,-1.62,-5.13,-71.29,16.15,19.27,11.57,120.04,-48.19,7.64,48.63
S0_BASE_bs00_E23,ETH.8.17,2018,25.19,24.15,1.21,30.25,22.89,25.83,10.79,6.66,30.01,27.04,-0.99,11.28,-72.57,13.90,13.79,5.93,-18.23,-34.34,7.49,31.65
S0_BASE_bs00_E24,ETH.8.17,2018,25.28,24.36,1.12,30.15,21.82,25.93,10.73,6.19,31.17,25.80,-0.62,12.26,-74.57,13.50,8.46,6.37,-18.68,-38.99,11.63,25.61
S0_BASE_bs00_E25,ETH.8.17,2018,26.07,22.10,0.96,31.37,26.62,27.92,25.87,4.64,31.58,29.03,2.48,1.84,-78.26,18.12,32.32,14.54,96.16,-54.23,13.11,41.34
S0_BASE_bs00_E26,ETH.8.17,2018,25.10,26.06,1.15,30.06,27.74,25.64,10.36,3.74,30.69,25.62,-1.35,20.10,-73.89,13.17,37.89,5.17,-21.42,-63.11,9.91,24.73
S0_BASE_bs00_E27,ETH.8.17,2018,26.63,24.58,1.36,30.91,25.23,25.50,10.17,5.65,31.45,24.86,4.69,13.28,-69.24,16.38,25.42,4.61,-22.89,-44.32,12.64,21.03
S0_BASE_bs00_E28,ETH.8.17,2018,25.13,27.16,3.13,31.82,26.77,25.51,9.41,8.29,31.22,23.60,-1.23,25.18,-29.09,19.82,33.06,4.65,-28.68,-18.24,11.83,14.88
S0_BASE_bs00_E29,ETH.8.17,2018,26.04,26.07,1.36,30.59,27.07,26.42,10.94,5.64,32.33,24.15,2.36,20.13,-69.14,15.18,34.53,8.36,-17.05,-44.37,15.80,17.57
S0_BASE_bs00_E30,ETH.8.17,2018,25.46,21.24,1.43,29.78,24.46,25.69,7.92,6.43,29.50,19.21,0.07,-2.13,-67.65,12.11,21.58,5.39,-39.98,-36.56,5.65,-6.49
S0_BASE_bs00_E31,ETH.8.17,2018,23.90,24.91,1.19,31.22,26.05,28.66,29.01,4.63,31.31,30.96,-6.05,14.78,-73.16,17.54,29.46,17.56,119.93,-54.37,12.15,50.72
S0_BASE_bs00_E32,ETH.8.17,2018,25.24,21.81,1.17,32.40,23.94,26.34,19.27,4.75,31.47,30.06,-0.78,0.51,-73.43,21.99,19.00,8.06,46.12,-53.16,12.72,46.33
S0_BASE_bs00_E33,ETH.8.17,2018,25.79,23.13,1.28,29.91,24.18,26.16,15.82,5.39,32.25,29.44,1.37,6.57,-71.09,12.62,20.19,7.30,19.94,-46.80,15.52,43.32
S0_BASE_bs00_E34,ETH.8.17,2018,25.00,17.66,1.32,29.50,21.83,28.61,27.77,5.85,30.32,30.33,-1.74,-18.61,-70.07,11.05,8.50,17.35,110.52,-42.31,8.59,47.66
S0_BASE_bs00_E01,ETH.8.2,2018,34.17,7.17,5.77,32.87,25.45,38.59,14.98,5.03,32.35,30.10,25.12,-36.29,46.91,11.15,30.05,20.97,-5.46,52.77,11.95,12.74
S0_BASE_bs00_E02,ETH.8.2,2018,36.51,8.12,2.78,35.42,19.40,36.40,15.49,2.34,35.84,29.97,33.69,-27.89,-29.33,19.79,-0.89,14.09,-2.29,-28.81,24.01,12.25
S0_BASE_bs00_E03,ETH.8.2,2018,36.50,9.35,5.07,31.73,17.17,38.89,15.64,3.90,35.24,28.96,33.64,-16.95,29.04,7.32,-12.25,21.91,-1.33,18.66,21.95,8.46
S0_BASE_bs00_E04,ETH.8.2,2018,35.64,9.24,5.96,35.49,24.45,36.73,12.30,5.36,33.26,28.87,30.50,-17.97,51.53,20.02,24.92,15.13,-22.41,62.84,15.07,8.11
S0_BASE_bs00_E05,ETH.8.2,2018,40.68,9.37,6.84,37.66,19.25,37.16,13.87,7.20,34.17,29.23,48.96,-16.81,73.96,27.37,-1.66,16.49,-12.46,118.70,18.23,9.47
S0_BASE_bs00_E06,ETH.8.2,2018,33.93,12.35,8.66,36.80,27.24,37.20,16.51,4.31,33.33,30.50,24.26,9.65,120.41,24.45,39.21,16.61,4.13,31.08,15.34,14.23
S0_BASE_bs00_E07,ETH.8.2,2018,37.07,7.32,3.72,33.14,17.46,42.64,15.42,4.99,36.00,28.71,35.75,-34.95,-5.45,12.09,-10.79,33.65,-2.70,51.69,24.56,7.52
S0_BASE_bs00_E08,ETH.8.2,2018,39.45,8.80,3.98,37.34,20.80,40.12,22.45,2.76,36.05,30.42,44.45,-21.83,1.32,26.28,6.31,25.78,41.66,-16.17,24.73,13.92
S0_BASE_bs00_E09,ETH.8.2,2018,34.07,9.91,5.11,29.80,18.94,35.46,7.28,2.20,31.61,24.05,24.74,-11.99,29.96,0.78,-3.23,11.17,-54.07,-33.00,9.39,-9.92
S0_BASE_bs00_E10,ETH.8.2,2018,34.52,9.00,6.14,33.61,19.83,36.98,8.17,4.83,31.44,27.22,26.39,-20.03,56.33,13.65,1.35,15.92,-48.48,46.91,8.78,1.93
S0_BASE_bs00_E11,ETH.8.2,2018,33.58,7.34,6.44,31.64,22.98,42.29,19.51,5.04,31.66,29.32,22.96,-34.77,63.98,6.99,17.41,32.55,23.12,53.06,9.55,9.81
S0_BASE_bs00_E12,ETH.8.2,2018,33.64,8.24,5.97,33.24,19.72,39.25,17.44,4.83,31.90,28.94,23.18,-26.80,51.78,12.42,0.79,23.03,10.02,46.78,10.38,8.40
S0_BASE_bs00_E13,ETH.8.2,2018,35.77,9.05,4.59,32.92,19.75,39.84,16.88,3.86,33.64,29.30,30.98,-19.62,16.76,11.33,0.91,24.89,6.48,17.29,16.41,9.73
S0_BASE_bs00_E14,ETH.8.2,2018,32.93,12.93,5.12,30.29,19.24,32.95,6.27,4.32,29.61,20.30,20.58,14.81,30.34,2.44,-1.70,3.29,-60.46,31.39,2.46,-23.96
S0_BASE_bs00_E15,ETH.8.2,2018,33.66,8.79,7.09,31.61,18.02,41.11,9.90,4.34,31.94,26.91,23.27,-21.93,80.48,6.89,-7.90,28.89,-37.51,31.84,10.51,0.80
S0_BASE_bs00_E16,ETH.8.2,2018,33.60,9.27,5.00,31.14,20.90,33.15,6.64,1.45,29.90,25.19,23.03,-17.65,27.26,5.32,6.81,3.92,-58.13,-55.78,3.45,-5.64
S0_BASE_bs00_E17,ETH.8.2,2018,35.78,9.36,4.04,33.98,21.65,38.81,10.60,4.67,33.19,27.32,31.03,-16.90,2.91,14.91,10.63,21.66,-33.11,41.83,14.84,2.34
S0_BASE_bs00_E18,ETH.8.2,2018,33.01,9.55,4.79,32.82,25.95,34.94,7.31,4.54,31.45,26.24,20.85,-15.21,21.94,10.98,32.61,9.52,-53.85,38.08,8.81,-1.71
S0_BASE_bs00_E19,ETH.8.2,2018,33.62,7.65,4.35,33.97,21.40,35.08,10.66,4.45,32.41,28.39,23.09,-32.09,10.66,14.88,9.36,9.98,-32.76,35.23,12.15,6.32
S0_BASE_bs00_E20,ETH.8.2,2018,33.33,7.38,3.41,32.70,18.50,37.71,9.68,5.02,30.85,27.20,22.03,-34.44,-13.21,10.57,-5.46,18.22,-38.93,52.52,6.74,1.86
S0_BASE_bs00_E21,ETH.8.2,2018,34.76,8.86,6.82,32.29,22.25,36.75,12.12,3.31,33.94,29.10,27.26,-21.35,73.63,9.19,13.67,15.19,-23.52,0.73,17.45,8.98
S0_BASE_bs00_E22,ETH.8.2,2018,40.67,10.32,5.34,39.33,21.36,42.47,24.66,4.07,38.20,30.31,48.93,-8.39,35.96,32.99,9.13,33.15,55.61,23.75,32.19,13.50
S0_BASE_bs00_E23,ETH.8.2,2018,34.55,8.39,3.39,35.33,20.40,38.03,13.69,3.97,32.52,29.50,26.50,-25.47,-13.84,19.47,4.25,19.21,-13.64,20.78,12.52,10.48
S0_BASE_bs00_E24,ETH.8.2,2018,40.82,9.64,5.00,36.84,20.06,39.27,17.00,5.83,37.14,29.78,49.48,-14.42,27.31,24.58,2.50,23.10,7.26,77.30,28.53,11.54
S0_BASE_bs00_E25,ETH.8.2,2018,39.32,9.20,2.65,39.36,23.17,42.00,24.79,2.70,38.22,30.43,43.96,-18.32,-32.57,33.09,18.38,31.65,56.43,-17.96,32.26,13.96
S0_BASE_bs00_E26,ETH.8.2,2018,35.57,7.79,5.63,34.78,20.01,40.34,16.45,4.96,34.23,29.46,30.26,-30.86,43.36,17.61,2.27,26.47,3.78,50.78,18.43,10.35
S0_BASE_bs00_E27,ETH.8.2,2018,39.34,8.86,1.89,35.80,18.30,42.28,17.59,3.06,35.27,30.35,44.06,-21.34,-51.96,21.07,-6.47,32.54,11.00,-6.90,22.04,13.68
S0_BASE_bs00_E28,ETH.8.2,2018,32.21,9.08,2.40,30.10,19.87,34.67,9.38,2.61,31.28,28.22,17.93,-19.38,-38.99,1.80,1.51,8.70,-40.81,-20.60,8.24,5.71
S0_BASE_bs00_E29,ETH.8.2,2018,34.86,9.30,4.08,33.78,23.76,36.81,18.70,2.71,35.24,31.47,27.63,-17.39,3.87,14.23,21.41,15.39,18.01,-17.48,21.93,17.86
S0_BASE_bs00_E30,ETH.8.2,2018,35.77,8.27,7.48,34.68,25.69,36.96,9.24,6.52,31.38,27.33,30.97,-26.57,90.30,17.27,31.28,15.86,-41.71,98.23,8.57,2.35
S0_BASE_bs00_E31,ETH.8.2,2018,39.25,10.23,3.63,36.68,22.24,43.81,20.97,3.31,39.85,30.38,43.72,-9.15,-7.58,24.04,13.62,37.34,32.28,0.49,37.88,13.77
S0_BASE_bs00_E32,ETH.8.2,2018,41.33,10.09,3.97,40.02,28.03,42.40,27.75,4.24,38.98,32.15,51.34,-10.40,1.13,35.34,43.22,32.90,75.08,28.86,34.89,20.40
S0_BASE_bs00_E33,ETH.8.2,2018,39.56,6.80,3.21,39.16,29.46,39.91,22.51,5.79,38.85,32.00,44.86,-39.57,-18.30,32.42,50.53,25.10,42.00,75.91,34.41,19.87
S0_BASE_bs00_E34,ETH.8.2,2018,36.63,10.31,6.62,37.88,25.64,41.15,19.07,3.66,37.03,28.45,34.13,-8.43,68.48,28.12,30.99,29.00,20.32,11.34,28.15,6.55
S0_BASE_bs00_E01,ETH.8.3,2018,30.77,6.13,5.71,NA,NA,43.78,23.88,3.77,NA,NA,17.36,-10.59,59.18,NA,NA,26.36,7.64,56.62,NA,NA
S0_BASE_bs00_E02,ETH.8.3,2018,30.02,6.05,4.26,NA,NA,39.48,22.34,2.24,NA,NA,14.51,-11.84,18.75,NA,NA,13.93,0.67,-7.24,NA,NA
S0_BASE_bs00_E03,ETH.8.3,2018,32.20,6.12,3.41,NA,NA,43.82,28.55,2.34,NA,NA,22.81,-10.76,-5.05,NA,NA,26.46,28.68,-2.90,NA,NA
S0_BASE_bs00_E04,ETH.8.3,2018,33.99,8.69,6.97,NA,NA,44.61,28.92,4.54,NA,NA,29.62,26.72,94.09,NA,NA,28.73,30.32,88.20,NA,NA
S0_BASE_bs00_E05,ETH.8.3,2018,37.57,9.91,6.38,NA,NA,42.94,30.22,5.43,NA,NA,43.27,44.46,77.79,NA,NA,23.92,36.20,125.15,NA,NA
S0_BASE_bs00_E06,ETH.8.3,2018,36.22,7.67,4.59,NA,NA,46.56,31.58,4.58,NA,NA,38.14,11.85,27.89,NA,NA,34.36,42.31,89.93,NA,NA
S0_BASE_bs00_E07,ETH.8.3,2018,34.61,7.32,4.77,NA,NA,43.91,23.56,4.99,NA,NA,32.00,6.73,32.98,NA,NA,26.73,6.16,106.89,NA,NA
S0_BASE_bs00_E08,ETH.8.3,2018,32.78,8.27,4.77,NA,NA,45.11,24.20,4.76,NA,NA,25.03,20.50,32.99,NA,NA,30.19,9.04,97.39,NA,NA
S0_BASE_bs00_E09,ETH.8.3,2018,29.06,5.02,2.60,NA,NA,45.18,26.02,1.59,NA,NA,10.82,-26.80,-27.64,NA,NA,30.38,17.27,-34.10,NA,NA
S0_BASE_bs00_E10,ETH.8.3,2018,32.03,6.34,3.61,NA,NA,40.98,23.07,3.04,NA,NA,22.16,-7.55,0.68,NA,NA,18.28,3.96,25.99,NA,NA
S0_BASE_bs00_E11,ETH.8.3,2018,37.71,11.15,6.67,NA,NA,47.45,26.53,5.75,NA,NA,43.84,62.49,85.77,NA,NA,36.94,19.58,138.62,NA,NA
S0_BASE_bs00_E12,ETH.8.3,2018,34.94,8.35,3.96,NA,NA,46.94,31.56,4.47,NA,NA,33.24,21.72,10.33,NA,NA,35.48,42.21,85.55,NA,NA
S0_BASE_bs00_E13,ETH.8.3,2018,33.61,6.08,3.24,NA,NA,51.10,33.60,2.71,NA,NA,28.20,-11.31,-9.86,NA,NA,47.47,51.40,12.54,NA,NA
S0_BASE_bs00_E14,ETH.8.3,2018,32.01,6.51,1.97,NA,NA,40.24,19.90,1.70,NA,NA,22.10,-5.11,-45.23,NA,NA,16.14,-10.32,-29.43,NA,NA
S0_BASE_bs00_E15,ETH.8.3,2018,34.26,7.05,2.21,NA,NA,52.60,33.90,4.57,NA,NA,30.66,2.80,-38.53,NA,NA,51.81,52.78,89.70,NA,NA
S0_BASE_bs00_E16,ETH.8.3,2018,31.42,6.42,3.94,NA,NA,42.01,30.69,1.75,NA,NA,19.82,-6.35,9.61,NA,NA,21.23,38.32,-27.48,NA,NA
S0_BASE_bs00_E17,ETH.8.3,2018,35.00,6.25,2.80,NA,NA,43.51,25.45,2.94,NA,NA,33.49,-8.87,-22.11,NA,NA,25.56,14.69,21.85,NA,NA
S0_BASE_bs00_E18,ETH.8.3,2018,31.73,5.68,2.14,NA,NA,39.27,22.16,1.96,NA,NA,21.00,-17.26,-40.43,NA,NA,13.34,-0.12,-18.80,NA,NA
S0_BASE_bs00_E19,ETH.8.3,2018,32.70,6.48,3.51,NA,NA,38.89,19.52,2.30,NA,NA,24.71,-5.49,-2.34,NA,NA,12.24,-12.04,-4.73,NA,NA
S0_BASE_bs00_E20,ETH.8.3,2018,37.49,6.16,3.09,NA,NA,50.92,33.73,3.95,NA,NA,42.97,-10.21,-13.91,NA,NA,46.96,52.00,64.08,NA,NA
S0_BASE_bs00_E21,ETH.8.3,2018,35.01,6.06,4.04,NA,NA,42.28,26.17,1.75,NA,NA,33.54,-11.71,12.56,NA,NA,22.02,17.94,-27.47,NA,NA
S0_BASE_bs00_E22,ETH.8.3,2018,39.93,8.86,6.99,NA,NA,48.74,32.36,5.49,NA,NA,52.30,29.14,94.63,NA,NA,40.66,45.85,127.59,NA,NA
S0_BASE_bs00_E23,ETH.8.3,2018,31.96,7.57,5.91,NA,NA,46.95,30.07,3.55,NA,NA,21.90,10.28,64.74,NA,NA,35.49,35.52,47.15,NA,NA
S0_BASE_bs00_E24,ETH.8.3,2018,38.01,7.92,3.45,NA,NA,44.97,30.37,2.42,NA,NA,44.96,15.42,-4.02,NA,NA,29.80,36.84,0.34,NA,NA
S0_BASE_bs00_E25,ETH.8.3,2018,36.25,5.60,3.28,NA,NA,53.06,37.03,1.23,NA,NA,38.26,-18.33,-8.77,NA,NA,53.12,66.88,-49.02,NA,NA
S0_BASE_bs00_E26,ETH.8.3,2018,34.47,6.65,1.95,NA,NA,44.35,26.83,1.89,NA,NA,31.46,-3.09,-45.63,NA,NA,28.01,20.91,-21.54,NA,NA
S0_BASE_bs00_E27,ETH.8.3,2018,37.59,5.88,1.84,NA,NA,51.95,32.56,2.49,NA,NA,43.35,-14.28,-48.86,NA,NA,49.94,46.72,3.14,NA,NA
S0_BASE_bs00_E28,ETH.8.3,2018,32.16,6.23,4.20,NA,NA,44.94,29.39,2.17,NA,NA,22.64,-9.20,16.91,NA,NA,29.70,32.43,-9.93,NA,NA
S0_BASE_bs00_E29,ETH.8.3,2018,36.18,7.71,5.84,NA,NA,48.51,37.41,3.07,NA,NA,37.98,12.42,62.79,NA,NA,40.00,68.58,27.25,NA,NA
S0_BASE_bs00_E30,ETH.8.3,2018,40.47,8.31,7.60,NA,NA,46.42,29.01,4.21,NA,NA,54.36,21.20,111.70,NA,NA,33.97,30.75,74.75,NA,NA
S0_BASE_bs00_E31,ETH.8.3,2018,41.94,5.88,3.37,NA,NA,54.66,36.15,2.01,NA,NA,59.97,-14.24,-6.22,NA,NA,57.76,62.90,-16.74,NA,NA
S0_BASE_bs00_E32,ETH.8.3,2018,38.45,9.44,4.60,NA,NA,47.18,31.55,3.77,NA,NA,46.64,37.60,28.06,NA,NA,36.15,42.19,56.37,NA,NA
S0_BASE_bs00_E33,ETH.8.3,2018,34.19,5.59,4.94,NA,NA,49.34,37.72,2.38,NA,NA,30.39,-18.55,37.61,NA,NA,42.40,69.97,-1.29,NA,NA
S0_BASE_bs00_E34,ETH.8.3,2018,33.22,10.15,5.75,NA,NA,45.45,28.08,3.42,NA,NA,26.69,47.94,60.18,NA,NA,31.16,26.53,41.75,NA,NA
S0_BASE_bs00_E01,ETH.8.4,2018,36.77,3.16,3.30,28.56,29.61,36.36,32.40,3.39,24.09,29.23,-2.58,-87.02,77.18,11.16,2.88,2.87,23.14,-58.79,-8.06,3.30
S0_BASE_bs00_E02,ETH.8.4,2018,37.75,12.88,1.39,26.43,26.90,36.60,37.01,3.37,27.64,31.02,0.04,-47.17,-25.54,2.87,-6.53,3.57,40.68,-59.04,5.50,9.61
S0_BASE_bs00_E03,ETH.8.4,2018,36.05,18.29,3.27,30.74,29.63,38.12,34.89,3.24,29.77,28.80,-4.48,-24.98,75.99,19.65,2.96,7.87,32.60,-60.56,13.64,1.76
S0_BASE_bs00_E04,ETH.8.4,2018,38.24,13.34,1.25,29.56,26.71,36.13,35.04,5.01,27.68,29.87,1.32,-45.27,-32.77,15.05,-7.20,2.23,33.18,-39.09,5.63,5.56
S0_BASE_bs00_E05,ETH.8.4,2018,37.94,11.20,0.91,23.94,30.65,34.39,36.96,3.30,26.20,30.87,0.53,-54.06,-51.05,-6.82,6.50,-2.68,40.49,-59.82,0.01,9.07
S0_BASE_bs00_E06,ETH.8.4,2018,38.61,15.26,2.05,29.45,29.06,34.20,15.68,5.67,29.62,33.28,2.31,-37.41,10.32,14.64,0.97,-3.22,-40.41,-31.00,13.07,17.59
