scenario,GID_2,month,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-07,0.306856026,21274.16586,7620.833333,-0.048277541,-5506.345062,-13.5941925,-20.56101572,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-08,0.154418339,10553.43603,7620.833333,-0.031296256,-4774.828948,-16.85180193,-31.15048542,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-09,0.15699155,24759.86067,7620.833333,0.046095674,9286.925474,41.56662552,60.0204509,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-10,0.374630325,99379.5497,7620.833333,0.016580984,6038.344538,4.630921612,6.469109251,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-11,1.313238907,390623.006,7620.833333,0.071381787,20149.84531,5.747987066,5.438948742,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-12,0.80202266,236060.6699,7620.833333,0.138417563,44925.22831,20.85842365,23.50439455,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2019-01,0.223212364,5879.671191,2180,-0.210710237,-4756.005012,-48.55940592,-44.71746715,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2019-02,0.043314077,1057.028037,2180,-0.066407803,-1502.765199,-60.52375622,-58.70650714,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2019-03,0.700031789,17683.57218,2180,0.406314883,10945.84956,138.3355451,162.4562212,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2019-04,0.926654498,20307.84168,2180,-0.525059086,-12452.04744,-36.1682285,-38.01004146,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-05,1.611713294,40171.78895,2180,-0.975971796,-18452.92128,-37.71601883,-31.47635393,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-06,3.13541098,68790.74056,2180,-0.600655305,-16088.40626,-16.0772122,-18.9544863,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-07,0.330167945,3962.015338,2180,0.02736088,-243.8747693,9.035747053,-5.798410398,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-08,0,0,2180,-0.019482121,-116.8927241,-100,-100,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-09,4.03285674,93115.40499,2180,1.253397128,28384.41339,45.09499338,43.84980469,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-10,2.449772682,49034.11543,2180,-0.259203967,-4881.263062,-9.568335228,-9.053563563,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-11,1.989224326,44093.50977,2180,-0.23933375,-3147.675351,-10.73939928,-6.662989811,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.6,2018-12,1.876391427,45086.89185,2180,0.249620012,7142.533905,15.34450447,18.82370474,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.7,2019-01,0.62387292,28713.4659,3686.666667,-0.789929446,-42374.36326,-55.87269235,-59.60846429,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.7,2019-02,0.049723626,3426.255578,3686.666667,-0.457876047,-11269.96902,-90.20416518,-76.68615123,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.7,2019-03,1.255192717,42945.81205,3686.666667,0.671247179,21854.26391,114.9503056,103.6162152,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.7,2019-04,3.048043597,166800.3653,3686.666667,0.575349599,55306.19982,23.26812776,49.60456861,,,,,,,,,
